aX,aY,aZ,gX,gY,gZ
-0.446,0.334,2.66,19.714,-31.494,70.251
-0.473,0.347,2.886,-5.676,-32.654,39.49
-0.405,0.212,3.046,-34.79,-32.959,24.231
-0.369,0.129,3.011,-100.281,-41.748,7.202
-0.255,-0.036,2.778,-128.906,-44.373,-1.77
-0.15,-0.127,2.582,-188.721,-49.194,-17.517
0.105,-0.277,2.09,-218.811,-57.251,-21.301
0.218,-0.31,1.862,-264.709,-83.923,-20.386
0.336,-0.279,1.542,-277.954,-89.355,-17.517
0.344,-0.24,1.382,-286.743,-57.8,-12.268
0.333,-0.197,0.912,-283.386,-29.724,-8.484
0.32,-0.165,0.655,-259.033,-14.099,-2.686
0.182,-0.035,0.279,-243.652,-41.931,-6.775
0.094,0.03,0.182,-212.952,-124.207,-30.945
0.052,0.019,0.179,-187.378,-149.902,-48.462
0.091,-0.047,0.235,-124.023,-140.869,-72.632
0.194,-0.141,0.304,-99.976,-114.99,-75.684
0.215,-0.145,0.278,-74.402,-49.377,-72.449
0.154,-0.109,0.086,-64.392,-19.531,-70.007
0.107,-0.097,-0.005,-31.86,7.996,-76.477
0.137,-0.09,-0.058,-17.456,5.005,-82.947
0.197,-0.062,-0.047,-18.982,-12.024,-83.74
0.272,0.013,-0.021,-29.175,-13.855,-76.782
0.289,0.047,-0.018,-33.63,5.92,-55.42
0.32,0.098,-0.046,-22.888,24.963,-44.983
0.352,0.122,-0.081,13.123,78.857,-28.015
0.436,0.232,-0.215,30.64,102.051,-18.066
0.343,0.351,-0.209,55.603,59.387,-1.099
0.127,0.491,-0.063,49.316,16.296,-4.211
0.096,0.558,0.043,-24.536,-56.519,31.067
-0.584,0.621,3.174,-87.708,-26.978,18.555
-0.621,0.537,3.079,-109.253,-57.068,22.583
-0.632,0.434,3.026,-149.78,-96.191,18.494
-0.514,0.291,2.922,-175.72,-97.717,0.732
-0.32,0.122,2.679,-217.529,-69.824,-30.518
0.099,-0.131,1.994,-223.45,-56.824,-32.654
0.259,-0.189,1.697,-218.933,-48.828,-24.292
0.442,-0.157,1.208,-210.449,-40.222,-20.386
0.434,-0.112,0.918,-192.566,-2.991,-17.334
0.333,-0.072,0.361,-183.594,6.042,-18.616
0.26,-0.041,0.197,-157.593,-30.701,-32.227
0.113,-0.022,0.011,-143.433,-67.627,-43.884
0.107,-0.089,0.01,-103.943,-135.193,-66.467
0.193,-0.215,0.292,-75.317,-144.836,-77.698
0.254,-0.266,0.46,-44.983,-99.426,-96.985
0.368,-0.348,0.407,-52.673,-63.354,-94.788
0.348,-0.345,0.192,-55.664,-17.578,-79.712
0.27,-0.322,-0.026,-34.302,-13.55,-82.886
0.281,-0.302,0.036,8.911,-22.217,-98.328
0.352,-0.206,0.132,13.123,-24.414,-101.135
0.383,-0.17,0.12,-5.92,-16.907,-91.248
0.423,-0.119,0.061,-25.94,-13.916,-77.515
0.46,-0.105,0.031,-49.316,19.47,-48.096
0.692,-0.055,-0.131,-35.278,66.956,-31.982
0.737,0.035,-0.262,39.917,170.593,13.123
0.291,0.349,-0.524,86.792,184.509,23.621
0.09,0.497,-0.585,38.452,58.411,38.513
-0.172,0.803,-0.221,-40.833,-44.312,61.768
-0.12,0.797,-0.101,2.686,-51.025,51.88
-0.293,0.83,0.12,51.392,-29.297,61.829
-0.51,0.508,2.056,-21.057,-14.221,60.303
-0.641,0.571,2.344,-10.254,3.357,41.321
-0.622,0.536,2.485,26.367,34.729,7.996
-0.565,0.383,2.763,41.565,36.072,2.686
-0.535,0.275,2.926,57.312,19.47,1.038
-0.427,-0.036,3.124,57.068,10.742,-2.991
-0.363,-0.194,3.066,-5.127,-24.78,-4.211
-0.198,-0.413,2.705,-61.829,-52.185,0.427
-0.119,-0.451,2.449,-163.94,-81.787,3.174
0.05,-0.478,1.882,-193.298,-77.271,-1.465
0.128,-0.471,1.598,-220.459,-57.068,-3.784
0.226,-0.378,1.109,-226.135,-52.124,-2.747
0.218,-0.283,0.927,-228.088,-49.072,-3.296
0.124,-0.113,0.615,-225.586,-43.335,-5.981
0.133,-0.094,0.458,-207.886,-39.063,-18.982
0.167,-0.104,0.231,-196.655,-56.274,-25.085
0.117,-0.095,0.221,-169.617,-109.619,-48.096
0.073,-0.093,0.355,-146.179,-118.835,-69.153
0.123,-0.136,0.366,-97.778,-86.975,-105.957
0.252,-0.256,0.163,-88.013,-70.313,-108.459
0.254,-0.264,0.07,-87.463,-72.388,-101.807
0.249,-0.261,0.028,-78.125,-76.965,-106.567
0.3,-0.263,0.041,-38.635,-58.899,-112.061
0.377,-0.191,0.063,-21.912,-38.879,-105.347
0.368,-0.139,0.047,-13.184,-8.667,-90.393
0.352,-0.042,-0.018,-21.301,-11.414,-83.984
0.366,0.004,-0.036,-40.771,-35.156,-67.261
0.395,0.099,-0.009,-41.626,-37.842,-55.237
0.403,0.148,0.021,-31.067,-8.972,-24.597
0.335,0.239,0.064,-24.841,11.658,-8.85
0.355,-0.32,1.557,-196.96,-15.015,21.79
0.391,-0.3,1.416,-219.421,-53.223,24.963
0.422,-0.218,1.264,-235.168,-71.899,24.597
0.383,-0.165,1.154,-277.1,-66.101,26.428
0.218,-0.063,0.799,-286.011,-37.537,26.672
0.14,-0.018,0.585,-257.263,30.273,19.958
0.033,0.068,0.134,-232.971,39.307,13.245
-0.001,0.092,-0.056,-192.383,-47.974,-10.01
-0.021,0.083,-0.057,-168.945,-127.38,-25.269
-0.007,0.068,0.13,-112.854,-212.402,-62.195
0.17,-0.09,0.403,-83.313,-182.434,-79.651
0.283,-0.172,0.38,-35.461,-51.819,-79.102
0.277,-0.166,0.164,-24.78,-2.197,-68.054
0.222,-0.126,0.067,-16.479,23.132,-57.129
0.196,-0.083,-0.022,-9.338,9.766,-56.824
0.22,-0.05,-0.001,3.296,-36.743,-49.744
0.219,0.068,0.142,2.991,-54.26,-44.983
0.201,0.104,0.21,0.488,-52.124,-36.194
0.187,0.149,0.292,0.488,-40.1,-28.87
0.18,0.177,0.312,-0.793,-19.165,-11.658
0.143,0.253,0.341,-1.221,-12.634,-3.113
0.08,0.33,0.371,-1.404,-0.061,12.512
-0.085,0.494,0.408,-2.991,4.517,17.029
-0.14,0.544,0.423,-10.132,-5.798,18.677
-0.177,0.575,0.482,-15.381,-17.822,17.761
-0.17,0.575,0.533,-19.653,-27.771,16.724
-0.148,0.588,0.615,-20.691,-22.217,15.381
-0.146,0.598,0.609,-19.531,-7.69,15.686
-0.178,0.643,0.496,-19.897,15.32,17.883
-0.198,0.668,0.447,-21.729,11.536,17.395
0.401,-0.47,1.311,-261.658,41.382,20.691
0.464,-0.464,1.111,-274.048,11.597,32.837
0.491,-0.414,0.925,-291.138,-46.814,55.359
0.455,-0.273,0.567,-286.133,-55.603,56.885
0.426,-0.24,0.407,-233.765,-23.499,44.495
0.37,-0.189,0.178,-196.045,1.648,40.71
0.312,-0.15,0.069,-139.465,17.7,41.87
0.199,-0.087,-0.182,-140.076,-23.254,42.664
0.176,-0.083,-0.184,-155.762,-100.586,38.94
0.302,-0.175,0.124,-152.71,-226.135,7.812
0.395,-0.218,0.282,-114.197,-216.064,-9.46
0.434,-0.214,0.348,-24.78,-89.783,-19.714
0.328,-0.123,0.243,-6.958,-32.959,-16.296
0.247,-0.06,0.173,-22.339,-4.333,-5.859
0.115,0.072,0.13,-30.762,-14.099,-2.563
0.071,0.141,0.154,-28.748,-34.973,-0.671
0.028,0.26,0.224,-27.466,-41.138,-1.099
0.021,0.293,0.246,-30.884,-41.687,-3.296
0.001,0.334,0.302,-33.447,-38.879,-3.479
-0.005,0.36,0.344,-35.767,-34.363,-3.662
0.003,0.38,0.367,-41.992,-18.127,-0.122
0.017,0.421,0.326,-44.25,-9.766,7.019
-0.013,0.47,0.305,-38.269,0.488,20.874
-0.099,0.584,0.328,-31.128,4.883,22.095
-0.129,0.623,0.343,-19.653,10.925,16.296
-0.153,0.659,0.343,-17.517,7.629,12.39
-0.151,0.672,0.351,-18.188,-2.075,8.972
-0.143,0.682,0.375,-22.949,-26.489,3.54
-0.132,0.693,0.426,-23.315,-31.311,1.709
-0.127,0.687,0.441,-15.198,-22.034,1.892
-0.27,0.66,2.254,-80.017,25.391,28.503
-0.337,0.816,2.573,-89.844,28.137,19.287
-0.361,0.857,2.766,-124.573,12.756,9.644
-0.348,0.843,3.017,-151.428,5.859,1.831
-0.294,0.774,2.99,-187.378,13.916,-17.456
-0.148,0.564,2.803,-191.711,17.761,-18.86
-0.091,0.446,2.729,-194.824,10.681,-8.057
0.02,0.163,2.45,-200.073,9.094,-3.296
0.1,0.023,2.2,-214.844,23.621,3.235
0.276,-0.186,1.619,-224.609,30.212,7.202
0.362,-0.249,1.353,-242.31,18.738,23.987
0.459,-0.276,0.881,-247.742,4.7,38.574
0.427,-0.211,0.629,-248.779,-9.399,68.298
0.265,-0.022,0.225,-234.07,-8.179,69.763
0.226,0.016,0.133,-163.452,6.531,42.236
0.24,-0.013,0.053,-120.972,9.644,26.489
0.24,-0.04,-0.006,-89.355,-2.014,16.663
0.235,-0.048,-0.075,-82.581,-84.29,13.794
0.234,-0.026,-0.071,-85.266,-139.221,8.24
0.273,-0.022,0.161,-43.518,-190.063,-21.667
0.293,-0.026,0.263,-16.724,-174.561,-36.133
0.295,-0.05,0.314,-2.38,-105.896,-42.48
0.251,-0.044,0.278,-12.268,-71.472,-34.668
0.191,-0.017,0.216,-21.057,-23.376,-18.066
0.094,0.09,0.105,-11.78,-14.099,-15.076
0.07,0.158,0.106,11.414,-23.376,-19.287
0.06,0.259,0.192,15.93,-31.189,-22.827
0.059,0.286,0.226,12.146,-30.762,-21.912
0.046,0.324,0.261,10.193,-22.949,-19.653
0.052,0.342,0.271,10.193,-10.254,-16.541
0.628,-0.478,0.596,-184.57,30.029,56.458
0.548,-0.358,0.462,-179.077,51.819,86.06
0.422,-0.195,0.151,-171.082,62.439,95.398
0.362,-0.129,0.036,-125.488,63.171,100.525
0.156,0.038,-0.102,-100.83,42.297,89.783
0.061,0.106,-0.187,-113.586,-75.867,42.419
0.016,0.118,-0.172,-127.014,-155.029,12.878
0.062,0.093,-0.049,-86.365,-221.374,-42.419
0.176,-0.009,0.171,-44.128,-188.66,-61.096
0.215,-0.061,0.188,18.921,-70.068,-65.369
0.202,-0.065,0.17,29.48,-23.804,-55.298
0.175,-0.018,0.187,15.442,22.339,-31.494
0.12,0.132,0.181,-5.676,26.794,-23.01
0.092,0.198,0.132,-52.917,-9.46,-16.357
0.029,0.287,0.113,-64.209,-36.499,-17.578
0.02,0.306,0.172,-53.284,-58.838,-26.855
0.058,0.305,0.312,-40.039,-50.598,-29.907
0.086,0.308,0.366,-26.489,-19.104,-23.743
0.118,0.366,0.415,-27.466,-4.028,-14.832
0.101,0.417,0.413,-32.837,20.264,6.836
0.026,0.498,0.394,-31.921,29.541,14.404
-0.003,0.527,0.392,-21.179,38.574,19.958
-0.068,0.601,0.418,-13.916,37.72,18.677
-0.104,0.639,0.436,-7.08,33.203,14.954
